filename,pattern,width,height,label_policy,created_at_utc
hardneg_synthetic_keyboard_0001.jpg,keyboard,960,540,empty_yolo_label_background,2026-06-16T03:19:38.313813+00:00
hardneg_synthetic_phone_0002.jpg,phone,960,720,empty_yolo_label_background,2026-06-16T03:19:38.357437+00:00
hardneg_synthetic_laptop_0003.jpg,laptop,720,540,empty_yolo_label_background,2026-06-16T03:19:38.367114+00:00
hardneg_synthetic_remote_control_0004.jpg,remote_control,800,600,empty_yolo_label_background,2026-06-16T03:19:38.397045+00:00
hardneg_synthetic_window_blinds_0005.jpg,window_blinds,720,480,empty_yolo_label_background,2026-06-16T03:19:38.423398+00:00
hardneg_synthetic_keyboard_0006.jpg,keyboard,720,720,empty_yolo_label_background,2026-06-16T03:19:38.433477+00:00
hardneg_synthetic_phone_0007.jpg,phone,720,600,empty_yolo_label_background,2026-06-16T03:19:38.440596+00:00
hardneg_synthetic_laptop_0008.jpg,laptop,720,480,empty_yolo_label_background,2026-06-16T03:19:38.458578+00:00
hardneg_synthetic_remote_control_0009.jpg,remote_control,960,600,empty_yolo_label_background,2026-06-16T03:19:38.488900+00:00
hardneg_synthetic_window_blinds_0010.jpg,window_blinds,960,600,empty_yolo_label_background,2026-06-16T03:19:38.519234+00:00
hardneg_synthetic_keyboard_0011.jpg,keyboard,720,600,empty_yolo_label_background,2026-06-16T03:19:38.544877+00:00
hardneg_synthetic_phone_0012.jpg,phone,720,540,empty_yolo_label_background,2026-06-16T03:19:38.565460+00:00
hardneg_synthetic_laptop_0013.jpg,laptop,720,480,empty_yolo_label_background,2026-06-16T03:19:38.574881+00:00
hardneg_synthetic_remote_control_0014.jpg,remote_control,640,600,empty_yolo_label_background,2026-06-16T03:19:38.597315+00:00
hardneg_synthetic_window_blinds_0015.jpg,window_blinds,800,540,empty_yolo_label_background,2026-06-16T03:19:38.625479+00:00
hardneg_synthetic_keyboard_0016.jpg,keyboard,640,540,empty_yolo_label_background,2026-06-16T03:19:38.647116+00:00
hardneg_synthetic_phone_0017.jpg,phone,640,600,empty_yolo_label_background,2026-06-16T03:19:38.663533+00:00
hardneg_synthetic_laptop_0018.jpg,laptop,640,600,empty_yolo_label_background,2026-06-16T03:19:38.669692+00:00
hardneg_synthetic_remote_control_0019.jpg,remote_control,960,600,empty_yolo_label_background,2026-06-16T03:19:38.692327+00:00
hardneg_synthetic_window_blinds_0020.jpg,window_blinds,800,480,empty_yolo_label_background,2026-06-16T03:19:38.709392+00:00
hardneg_synthetic_keyboard_0021.jpg,keyboard,960,480,empty_yolo_label_background,2026-06-16T03:19:38.730359+00:00
hardneg_synthetic_phone_0022.jpg,phone,800,540,empty_yolo_label_background,2026-06-16T03:19:38.749565+00:00
