relative_path,status,source_page,url,alt,sha256,bytes,source_type,license_status,target_class,notes
10_원천이미지_raw/10_웹크롤링후보/lg_filter_round3_product_and_guides/round3_001_Air-conditioner_LW1223HR_gallery_01_5000x5000.jpg,downloaded,https://www.lg.com/us/air-conditioners/lg-lw1223hr-window-air-conditioner,https://media.us.lg.com/transform/ecomm-PDPGalleryThumbnail-350x350/6a936c3b-806a-4130-9abe-923e3c7222fc/Air-conditioner_LW1223HR_gallery_01_5000x5000?io=transform:fill,"12,200 BTU Window Air Conditioner, Cooling & Heating LW1223HR",634e2a010ee4c1149e251daf7fa8d7b35a9ceb6d33b101a6a1e4c19f2cec276c,12236,web_crawled_lg_product_or_public_repair_guide,lg_public_page_candidate_not_explicit_training_license,filter,Round3 candidate from product/support/repair guide; verify visual relevance and license before Roboflow
10_원천이미지_raw/10_웹크롤링후보/lg_filter_round3_product_and_guides/round3_002_Air-Conditioner-LW1223HR-gallery-02_5001x5001.jpg,downloaded,https://www.lg.com/us/air-conditioners/lg-lw1223hr-window-air-conditioner,https://media.us.lg.com/transform/ecomm-PDPGalleryThumbnail-350x350/05c0f26f-933b-40a2-8e4f-d1ec707a43ab/Air-Conditioner-LW1223HR-gallery-02_5001x5001?io=transform:fill,"Area
BTU
Square feet
Capacity",a839d6bbe8509839fe9d3c4ca9355f7aec11526359ba1c7ce556834908c6e740,31059,web_crawled_lg_product_or_public_repair_guide,lg_public_page_candidate_not_explicit_training_license,filter,Round3 candidate from product/support/repair guide; verify visual relevance and license before Roboflow
10_원천이미지_raw/10_웹크롤링후보/lg_filter_round3_product_and_guides/round3_003_Air-Conditioner-LW1223HR-gallery-03_5000x5000.jpg,downloaded,https://www.lg.com/us/air-conditioners/lg-lw1223hr-window-air-conditioner,https://media.us.lg.com/transform/ecomm-PDPGalleryThumbnail-350x350/87160d96-652b-4afa-8509-cf2c423cdcfe/Air-Conditioner-LW1223HR-gallery-03_5000x5000?io=transform:fill,"12,200 BTU Window Air Conditioner, Cooling & Heating LW1223HR",83b5cbaac8e323cb6e0c5b67f8fd50dea78785bf0f49cf26ccd8271895f2f3ee,26961,web_crawled_lg_product_or_public_repair_guide,lg_public_page_candidate_not_explicit_training_license,filter,Round3 candidate from product/support/repair guide; verify visual relevance and license before Roboflow
10_원천이미지_raw/10_웹크롤링후보/lg_filter_round3_product_and_guides/round3_004_Air-conditioner_LW1223HR_gallery_01_5000x5000.jpg,downloaded,https://www.lg.com/us/air-conditioners/lg-lw1223hr-window-air-conditioner,https://media.us.lg.com/transform/ecomm-PDPGallery-1100x730/6a936c3b-806a-4130-9abe-923e3c7222fc/Air-conditioner_LW1223HR_gallery_01_5000x5000?io=transform:fill,"12,200 BTU Window Air Conditioner, Cooling & Heating LW1223HR",adbcaebf7ce9f901d8de1ff289cc52d2334e0bfad1f3597c14c68593480b587f,41063,web_crawled_lg_product_or_public_repair_guide,lg_public_page_candidate_not_explicit_training_license,filter,Round3 candidate from product/support/repair guide; verify visual relevance and license before Roboflow
10_원천이미지_raw/10_웹크롤링후보/lg_filter_round3_product_and_guides/round3_005_Air-Conditioner-LW1223HR-gallery-02_5001x5001.jpg,downloaded,https://www.lg.com/us/air-conditioners/lg-lw1223hr-window-air-conditioner,https://media.us.lg.com/transform/ecomm-PDPGallery-1100x730/05c0f26f-933b-40a2-8e4f-d1ec707a43ab/Air-Conditioner-LW1223HR-gallery-02_5001x5001?io=transform:fill,"Area
BTU
Square feet
Capacity",2d40539746ffb699f4eb2598ab959332a34731e3b314dbb2af5756dd1eef954c,112445,web_crawled_lg_product_or_public_repair_guide,lg_public_page_candidate_not_explicit_training_license,filter,Round3 candidate from product/support/repair guide; verify visual relevance and license before Roboflow
10_원천이미지_raw/10_웹크롤링후보/lg_filter_round3_product_and_guides/round3_006_Air-Conditioner-LW1223HR-gallery-03_5000x5000.jpg,downloaded,https://www.lg.com/us/air-conditioners/lg-lw1223hr-window-air-conditioner,https://media.us.lg.com/transform/ecomm-PDPGallery-1100x730/87160d96-652b-4afa-8509-cf2c423cdcfe/Air-Conditioner-LW1223HR-gallery-03_5000x5000?io=transform:fill,"12,200 BTU Window Air Conditioner, Cooling & Heating LW1223HR",5c3c3906d9f3e84f6a58de3891cd535aa6144a4a271c065d5113ef5906d04140,94385,web_crawled_lg_product_or_public_repair_guide,lg_public_page_candidate_not_explicit_training_license,filter,Round3 candidate from product/support/repair guide; verify visual relevance and license before Roboflow
10_원천이미지_raw/10_웹크롤링후보/lg_filter_round3_product_and_guides/round3_007_thul-HA-OBS-10-all-season-air-conditioners_768X432.png,downloaded,https://www.lg.com/us/air-conditioners/lg-lw1223hr-window-air-conditioner,https://media.us.lg.com/m/525183a664f0b69/thul-HA-OBS-10-all-season-air-conditioners_768X432.png,,4af44e37722edec21eb682dd8f8c2b0a87e16ee5a36a59f07a76d7b73a6cd296,5048,web_crawled_lg_product_or_public_repair_guide,lg_public_page_candidate_not_explicit_training_license,filter,Round3 candidate from product/support/repair guide; verify visual relevance and license before Roboflow
10_원천이미지_raw/10_웹크롤링후보/lg_filter_round3_product_and_guides/round3_008_webimage-HA-OBS-10-all-season-air-conditioners_768X432.png,downloaded,https://www.lg.com/us/air-conditioners/lg-lw1223hr-window-air-conditioner,https://media.us.lg.com/m/525183a664f0b69/webimage-HA-OBS-10-all-season-air-conditioners_768X432.png,,ec15639dadb00f126998deb17b3ee9dd6520ca24597811f68e54e88aa621a975,32202,web_crawled_lg_product_or_public_repair_guide,lg_public_page_candidate_not_explicit_training_license,filter,Round3 candidate from product/support/repair guide; verify visual relevance and license before Roboflow
,skip_http_200_bytes_1247,https://www.lg.com/us/air-conditioners/lg-lw1223hr-window-air-conditioner,https://media.us.lg.com/m/525183a664f0b69/mini-HA-OBS-10-all-season-air-conditioners_768X432.png,,,1247,web_crawled_lg_product_or_public_repair_guide,lg_public_page_candidate_not_explicit_training_license,filter,Round3 candidate from product/support/repair guide; verify visual relevance and license before Roboflow
10_원천이미지_raw/10_웹크롤링후보/lg_filter_round3_product_and_guides/round3_010_thul-2025-Air-conditioner-online-exclusive-minicard_768x433.png,downloaded,https://www.lg.com/us/air-conditioners/lg-lw1223hr-window-air-conditioner,https://media.us.lg.com/m/7d751e7454e54633/thul-2025-Air-conditioner-online-exclusive-minicard_768x433.png,,627bf12450ffa5a05fe356cb8c201c9690190515badb061e21f08e6e8f5464aa,5536,web_crawled_lg_product_or_public_repair_guide,lg_public_page_candidate_not_explicit_training_license,filter,Round3 candidate from product/support/repair guide; verify visual relevance and license before Roboflow
10_원천이미지_raw/10_웹크롤링후보/lg_filter_round3_product_and_guides/round3_011_webimage-2025-Air-conditioner-online-exclusive-minicard_768x433.png,downloaded,https://www.lg.com/us/air-conditioners/lg-lw1223hr-window-air-conditioner,https://media.us.lg.com/m/7d751e7454e54633/webimage-2025-Air-conditioner-online-exclusive-minicard_768x433.png,,eb01204060ef599754255ec01da1c990ac977df2e16f5b24d783a2b0826a5f02,51744,web_crawled_lg_product_or_public_repair_guide,lg_public_page_candidate_not_explicit_training_license,filter,Round3 candidate from product/support/repair guide; verify visual relevance and license before Roboflow
,skip_http_200_bytes_1220,https://www.lg.com/us/air-conditioners/lg-lw1223hr-window-air-conditioner,https://media.us.lg.com/m/7d751e7454e54633/mini-2025-Air-conditioner-online-exclusive-minicard_768x433.png,,,1220,web_crawled_lg_product_or_public_repair_guide,lg_public_page_candidate_not_explicit_training_license,filter,Round3 candidate from product/support/repair guide; verify visual relevance and license before Roboflow
10_원천이미지_raw/10_웹크롤링후보/lg_filter_round3_product_and_guides/round3_013_thul-2025-HA-Save-10-on-eligible-AC-and-air-care-bundle-minicard_768x4.png,downloaded,https://www.lg.com/us/air-conditioners/lg-lw1223hr-window-air-conditioner,https://media.us.lg.com/m/69484ed8910e980b/thul-2025-HA-Save-10-on-eligible-AC-and-air-care-bundle-minicard_768x433.png,,eb6a093cd70f4922b5733968a0ec81871e22847b6d4d1c92811115c9e16eea20,4437,web_crawled_lg_product_or_public_repair_guide,lg_public_page_candidate_not_explicit_training_license,filter,Round3 candidate from product/support/repair guide; verify visual relevance and license before Roboflow
