relative_path,status,source_page,url,alt,sha256,bytes,source_type,license_status,target_class,notes
10_원천이미지_raw/10_웹크롤링후보/ifixit_lg_goldstar_filter/ifixit_lg_filter_001_fNZ2nhLWRSpCVH1E.jpg,downloaded,https://www.ifixit.com/Guide/How%2Bto%2BClean%2Ban%2BLG%2BGoldstar%2BBG5200ER%2BAir%2BConditioner%2BAir%2BFilter/150241,https://guide-images.cdn.ifixit.com/igi/fNZ2nhLWRSpCVH1E.medium,"How to Clean an LG Goldstar BG5200ER Air Conditioner Air Filter, How to Clean an LG Goldstar BG5200ER Air Conditioner Air Filter: step 1, image 1 of 2",592d8bdddba75a6123905cc5b534a0bbd8ddd2cf1eea9a887dc2d04e746ca41a,40861,ifixit_public_lg_air_conditioner_filter_guide,ifixit_public_guide_verify_license_before_training,filter,LG/Goldstar air conditioner filter repair-guide candidate; verify license and visual relevance before Roboflow
10_원천이미지_raw/10_웹크롤링후보/ifixit_lg_goldstar_filter/ifixit_lg_filter_002_fNZ2nhLWRSpCVH1E.jpg,downloaded,https://www.ifixit.com/Guide/How%2Bto%2BClean%2Ban%2BLG%2BGoldstar%2BBG5200ER%2BAir%2BConditioner%2BAir%2BFilter/150241,https://guide-images.cdn.ifixit.com/igi/fNZ2nhLWRSpCVH1E.large,"How to Clean an LG Goldstar BG5200ER Air Conditioner Air Filter, How to Clean an LG Goldstar BG5200ER Air Conditioner Air Filter: step 1, image 1 of 2",d5da89832deb967b9fcd4de14f7161ca20285709da5c5fa32080fa8217f5d0c3,73899,ifixit_public_lg_air_conditioner_filter_guide,ifixit_public_guide_verify_license_before_training,filter,LG/Goldstar air conditioner filter repair-guide candidate; verify license and visual relevance before Roboflow
10_원천이미지_raw/10_웹크롤링후보/ifixit_lg_goldstar_filter/ifixit_lg_filter_003_lPhvWQmc3CECCtVN.jpg,downloaded,https://www.ifixit.com/Guide/How%2Bto%2BClean%2Ban%2BLG%2BGoldstar%2BBG5200ER%2BAir%2BConditioner%2BAir%2BFilter/150241,https://guide-images.cdn.ifixit.com/igi/lPhvWQmc3CECCtVN.medium,"How to Clean an LG Goldstar BG5200ER Air Conditioner Air Filter, How to Clean an LG Goldstar BG5200ER Air Conditioner Air Filter: step 1, image 2 of 2",bb398e82c673faa337b078bcc49f95d1cacf8fa2616860a6ee485c757dda1fb0,33262,ifixit_public_lg_air_conditioner_filter_guide,ifixit_public_guide_verify_license_before_training,filter,LG/Goldstar air conditioner filter repair-guide candidate; verify license and visual relevance before Roboflow
10_원천이미지_raw/10_웹크롤링후보/ifixit_lg_goldstar_filter/ifixit_lg_filter_004_lPhvWQmc3CECCtVN.jpg,downloaded,https://www.ifixit.com/Guide/How%2Bto%2BClean%2Ban%2BLG%2BGoldstar%2BBG5200ER%2BAir%2BConditioner%2BAir%2BFilter/150241,https://guide-images.cdn.ifixit.com/igi/lPhvWQmc3CECCtVN.large,"How to Clean an LG Goldstar BG5200ER Air Conditioner Air Filter, How to Clean an LG Goldstar BG5200ER Air Conditioner Air Filter: step 1, image 2 of 2",75b9585c7f96a2fdd9478ff20eac6d310df55c85e599c81ae877497f939b2e76,59061,ifixit_public_lg_air_conditioner_filter_guide,ifixit_public_guide_verify_license_before_training,filter,LG/Goldstar air conditioner filter repair-guide candidate; verify license and visual relevance before Roboflow
10_원천이미지_raw/10_웹크롤링후보/ifixit_lg_goldstar_filter/ifixit_lg_filter_005_fNZ2nhLWRSpCVH1E.jpg,downloaded,https://www.ifixit.com/Guide/How%2Bto%2BClean%2Ban%2BLG%2BGoldstar%2BBG5200ER%2BAir%2BConditioner%2BAir%2BFilter/150241,https://guide-images.cdn.ifixit.com/igi/fNZ2nhLWRSpCVH1E.200x150,,d36efc20965e75657a19feae8a503761042ae49e53d067c018a362b99ea5d768,6196,ifixit_public_lg_air_conditioner_filter_guide,ifixit_public_guide_verify_license_before_training,filter,LG/Goldstar air conditioner filter repair-guide candidate; verify license and visual relevance before Roboflow
10_원천이미지_raw/10_웹크롤링후보/ifixit_lg_goldstar_filter/ifixit_lg_filter_006_lPhvWQmc3CECCtVN.jpg,downloaded,https://www.ifixit.com/Guide/How%2Bto%2BClean%2Ban%2BLG%2BGoldstar%2BBG5200ER%2BAir%2BConditioner%2BAir%2BFilter/150241,https://guide-images.cdn.ifixit.com/igi/lPhvWQmc3CECCtVN.200x150,,12542101627cc36963581cece9c22d96387c7afd229bdeddf12892d42a4394c5,5724,ifixit_public_lg_air_conditioner_filter_guide,ifixit_public_guide_verify_license_before_training,filter,LG/Goldstar air conditioner filter repair-guide candidate; verify license and visual relevance before Roboflow
10_원천이미지_raw/10_웹크롤링후보/ifixit_lg_goldstar_filter/ifixit_lg_filter_007_FjdCFU6oEXptCgHI.jpg,downloaded,https://www.ifixit.com/Guide/How%2Bto%2BClean%2Ban%2BLG%2BGoldstar%2BBG5200ER%2BAir%2BConditioner%2BAir%2BFilter/150241,https://guide-images.cdn.ifixit.com/igi/FjdCFU6oEXptCgHI.medium,"How to Clean an LG Goldstar BG5200ER Air Conditioner Air Filter: step 2, image 1 of 2",d0b76e95c9e52151e7dcaf0505b4b026e0b120db3d77da6410c6665823ecd290,36462,ifixit_public_lg_air_conditioner_filter_guide,ifixit_public_guide_verify_license_before_training,filter,LG/Goldstar air conditioner filter repair-guide candidate; verify license and visual relevance before Roboflow
10_원천이미지_raw/10_웹크롤링후보/ifixit_lg_goldstar_filter/ifixit_lg_filter_008_FjdCFU6oEXptCgHI.jpg,downloaded,https://www.ifixit.com/Guide/How%2Bto%2BClean%2Ban%2BLG%2BGoldstar%2BBG5200ER%2BAir%2BConditioner%2BAir%2BFilter/150241,https://guide-images.cdn.ifixit.com/igi/FjdCFU6oEXptCgHI.large,"How to Clean an LG Goldstar BG5200ER Air Conditioner Air Filter: step 2, image 1 of 2",c15d5b9629f6d8a82dee6c948c15483c9e4967d08995221b2295a2e486a43e8b,61404,ifixit_public_lg_air_conditioner_filter_guide,ifixit_public_guide_verify_license_before_training,filter,LG/Goldstar air conditioner filter repair-guide candidate; verify license and visual relevance before Roboflow
10_원천이미지_raw/10_웹크롤링후보/ifixit_lg_goldstar_filter/ifixit_lg_filter_009_XjlPA6PSK5PcAG6R.jpg,downloaded,https://www.ifixit.com/Guide/How%2Bto%2BClean%2Ban%2BLG%2BGoldstar%2BBG5200ER%2BAir%2BConditioner%2BAir%2BFilter/150241,https://guide-images.cdn.ifixit.com/igi/XjlPA6PSK5PcAG6R.medium,"How to Clean an LG Goldstar BG5200ER Air Conditioner Air Filter: step 2, image 2 of 2",b7bf4a04e67761024d01f81960fed334901272ec1f68c074087253ce2b311130,28384,ifixit_public_lg_air_conditioner_filter_guide,ifixit_public_guide_verify_license_before_training,filter,LG/Goldstar air conditioner filter repair-guide candidate; verify license and visual relevance before Roboflow
10_원천이미지_raw/10_웹크롤링후보/ifixit_lg_goldstar_filter/ifixit_lg_filter_010_XjlPA6PSK5PcAG6R.jpg,downloaded,https://www.ifixit.com/Guide/How%2Bto%2BClean%2Ban%2BLG%2BGoldstar%2BBG5200ER%2BAir%2BConditioner%2BAir%2BFilter/150241,https://guide-images.cdn.ifixit.com/igi/XjlPA6PSK5PcAG6R.large,"How to Clean an LG Goldstar BG5200ER Air Conditioner Air Filter: step 2, image 2 of 2",e261ae39ffa087fcf90e6bc6272fa5f53425232a0fe7a9d45db299a8e2fddd40,48492,ifixit_public_lg_air_conditioner_filter_guide,ifixit_public_guide_verify_license_before_training,filter,LG/Goldstar air conditioner filter repair-guide candidate; verify license and visual relevance before Roboflow
