filename,category,source_category,source_title,source_url,download_url,license,status,sha256_or_error,collected_at_utc
hardneg_keyboard_0001.jpg,keyboard,Category:Computer keyboards,File:3D kappaleiden mittauslaite.jpg,https://commons.wikimedia.org/wiki/File:3D_kappaleiden_mittauslaite.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/3D_kappaleiden_mittauslaite.jpg/960px-3D_kappaleiden_mittauslaite.jpg,CC BY-SA 4.0,downloaded,9d449568cdf0346737c87313b5a6de3f88fcb951140370d1c35dcadc01abb658,2026-06-16T03:16:23.936262+00:00
hardneg_keyboard_0002.jpg,keyboard,Category:Computer keyboards,File:98keyboarnormal.jpg,https://commons.wikimedia.org/wiki/File:98keyboarnormal.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/98keyboarnormal.jpg/960px-98keyboarnormal.jpg,CC BY-SA 3.0,downloaded,e2df5987ba1dd6e04048cf83a2bf7b5b88df23bf5b1ddb50383409d01fe859cf,2026-06-16T03:16:25.903511+00:00
hardneg_keyboard_0003.jpg,keyboard,Category:Computer keyboards,File:AT42andAnnePro2.jpg,https://commons.wikimedia.org/wiki/File:AT42andAnnePro2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/AT42andAnnePro2.jpg/960px-AT42andAnnePro2.jpg,CC BY-SA 4.0,failed,HTTPError:429 Client Error: Too many requests (f061ab2) for url: https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/AT42andAnnePro2.jpg/960px-AT42andAnnePro2.jpg,2026-06-16T03:16:26.853838+00:00
hardneg_keyboard_0004.jpg,keyboard,Category:Computer keyboards,File:AT and XT plug pins.jpg,https://commons.wikimedia.org/wiki/File:AT_and_XT_plug_pins.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/AT_and_XT_plug_pins.jpg/960px-AT_and_XT_plug_pins.jpg,Public domain,failed,HTTPError:429 Client Error: Too many requests (f061ab2) for url: https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/AT_and_XT_plug_pins.jpg/960px-AT_and_XT_plug_pins.jpg,2026-06-16T03:16:28.373316+00:00
hardneg_keyboard_0005.png,keyboard,Category:Computer keyboards,File:Abe on screen bangla keyboard main window.png,https://commons.wikimedia.org/wiki/File:Abe_on_screen_bangla_keyboard_main_window.png,https://upload.wikimedia.org/wikipedia/commons/5/5a/Abe_on_screen_bangla_keyboard_main_window.png,CC BY-SA 4.0,failed,HTTPError:429 Client Error: Too many requests (f061ab2) for url: https://upload.wikimedia.org/wikipedia/commons/5/5a/Abe_on_screen_bangla_keyboard_main_window.png,2026-06-16T03:16:29.297355+00:00
hardneg_keyboard_0006.jpg,keyboard,Category:Computer keyboards,File:Adapter 2011-02-27 (detail).jpg,https://commons.wikimedia.org/wiki/File:Adapter_2011-02-27_(detail).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Adapter_2011-02-27_%28detail%29.jpg/960px-Adapter_2011-02-27_%28detail%29.jpg,CC BY-SA 4.0,downloaded,0a37e6f73be074b93142c6b253404959ef7197e00ed27f9cc86d8790d8948aad,2026-06-16T03:16:30.705950+00:00
hardneg_keyboard_0007.jpg,keyboard,Category:Computer keyboards,File:Albert computer keyboard front.JPG,https://commons.wikimedia.org/wiki/File:Albert_computer_keyboard_front.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Albert_computer_keyboard_front.JPG/960px-Albert_computer_keyboard_front.JPG,Public domain,failed,HTTPError:429 Client Error: Too many requests (f061ab2) for url: https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Albert_computer_keyboard_front.JPG/960px-Albert_computer_keyboard_front.JPG,2026-06-16T03:16:31.723036+00:00
hardneg_keyboard_0008.jpg,keyboard,Category:Computer keyboards,File:Amtelco Unified keyboard bottom.jpg,https://commons.wikimedia.org/wiki/File:Amtelco_Unified_keyboard_bottom.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Amtelco_Unified_keyboard_bottom.jpg/960px-Amtelco_Unified_keyboard_bottom.jpg,Public domain,failed,HTTPError:429 Client Error: Too many requests (f061ab2) for url: https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Amtelco_Unified_keyboard_bottom.jpg/960px-Amtelco_Unified_keyboard_bottom.jpg,2026-06-16T03:16:32.674935+00:00
hardneg_keyboard_0009.jpg,keyboard,Category:Computer keyboards,File:Amtelco Unified keyboard top.jpg,https://commons.wikimedia.org/wiki/File:Amtelco_Unified_keyboard_top.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Amtelco_Unified_keyboard_top.jpg/960px-Amtelco_Unified_keyboard_top.jpg,Public domain,failed,HTTPError:429 Client Error: Too many requests (f061ab2) for url: https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Amtelco_Unified_keyboard_top.jpg/960px-Amtelco_Unified_keyboard_top.jpg,2026-06-16T03:16:33.700918+00:00
hardneg_keyboard_0010.jpg,keyboard,Category:Computer keyboards,File:Assistive keyboard and Joystick.jpg,https://commons.wikimedia.org/wiki/File:Assistive_keyboard_and_Joystick.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Assistive_keyboard_and_Joystick.jpg/960px-Assistive_keyboard_and_Joystick.jpg,CC BY-SA 4.0,failed,HTTPError:429 Client Error: Too many requests (f061ab2) for url: https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Assistive_keyboard_and_Joystick.jpg/960px-Assistive_keyboard_and_Joystick.jpg,2026-06-16T03:16:34.702836+00:00
hardneg_keyboard_0011.jpg,keyboard,Category:Computer keyboards,File:Atreus 42 (OEM keycaps).jpg,https://commons.wikimedia.org/wiki/File:Atreus_42_(OEM_keycaps).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Atreus_42_%28OEM_keycaps%29.jpg/960px-Atreus_42_%28OEM_keycaps%29.jpg,CC BY-SA 4.0,failed,"HTTPError:429 Client Error: Your request does not comply with our robot policy, https://w.wiki/4wJS. Please contact noc@wikimedia.org for further information (0fa5166) for url: https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Atreus_42_%28OEM_keycaps%29.jpg/960px-Atreus_42_%28OEM_keycaps%29.jpg",2026-06-16T03:16:35.638696+00:00
